128,00,01,39.30,+1,73,36,42.8,6.50,Am...,15.20,0.63,0.182,0.002
129,00,01,39.74,+1,05,22,21.9,9.32,F8,6.60,1.30,0.559,0.007
130,00,01,40.38,-1,30,41,33.0,9.14,K0III,2.93,1.38,1.080,0.015
131,00,01,40.79,+1,62,01,05.3,8.13,A4V,8.11,0.83,0.200,0.013
132,00,01,41.28,-1,34,39,12.6,10.62,F0,1.89,1.91,0.358,0.045
133,00,01,41.61,-1,40,08,55.2,6.62,F5IV,3.51,0.79,0.545,0.005
134,00,01,42.03,-1,01,08,23.9,9.96,A0,1.30,1.71,0.264,0.055
135,00,01,42.42,-1,00,13,03.0,8.64,G5,20.10,1.22,0.620,0.019
136,00,01,42.87,+1,24,15,11.5,6.60,K2III-IV,5.84,0.78,1.153,0.009
137,00,01,43.85,+1,42,22,01.7,6.25,B9IIIpMn,2.45,0.69,-0.042,0.005
138,00,01,44.93,-1,16,31,54.2,7.83,K0/K1IV,6.34,1.89,1.074,0.011
139,00,01,46.87,+1,67,30,25.1,10.03,B0,1.62,1.45,1.289,0.042
140,00,01,48.64,-1,68,06,17.3,9.04,F7V,8.98,0.93,0.546,0.016
141,00,01,48.82,+1,36,21,01.2,8.47,K5,5.61,1.10,1.350,0.027
142,00,01,48.90,+1,66,18,21.6,7.33,K0,16.04,0.69,0.730,0.008
144,00,01,49.22,+1,76,10,32.2,8.66,K5,3.57,0.75,1.364,0.030
143,00,01,49.24,+1,21,27,43.7,10.35,K3,20.05,1.64,1.033,0.019
145,00,01,49.44,-1,03,01,38.9,5.13,B7III-IV,7.98,0.71,-0.128,0.009
146,00,01,49.49,-1,25,47,51.7,8.96,A9V,4.39,1.29,0.306,0.002
147,00,01,51.85,+1,21,01,34.5,8.49,K5,-0.13,1.19,1.569,0.036
149,00,01,54.88,+1,26,00,20.1,11.26,K3,22.92,2.17,0.932,0.007
148,00,01,54.91,+1,15,31,42.7,8.15,F8,4.22,0.96,0.584,0.013
150,00,01,55.29,-1,37,13,47.4,7.04,K1III,7.50,0.84,1.060,0.015
152,00,01,56.27,-1,28,07,51.4,10.02,F5,5.10,1.42,0.456,0.015
153,00,01,56.29,+1,12,39,17.8,8.90,F8,5.54,1.23,0.459,0.024
151,00,01,56.30,-1,41,36,49.5,7.78,F3IV...,7.56,1.37,0.411,0.002
154,00,01,57.59,-1,06,00,50.3,4.37,M3III,7.86,0.94,1.631,0.011
155,00,01,57.87,+1,46,16,09.0,9.93,A2,2.28,1.39,0.283,0.032
156,00,01,59.25,+1,63,21,28.2,8.60,B8V,3.09,0.84,0.100,0.015
157,00,02,00.08,-1,05,12,50.4,8.51,G5,6.87,1.28,0.903,0.018
158,00,02,00.11,-1,37,54,06.4,7.09,K0III,7.03,0.89,0.999,0.006
159,00,02,02.59,-1,02,45,58.2,6.93,A3,16.92,0.81,0.292,0.009
160,00,02,02.81,-1,69,16,09.1,8.68,B9V,2.07,0.80,-0.052,0.006
161,00,02,03.00,+1,33,41,45.6,8.98,K5,2.38,1.09,1.500,0.040
162,00,02,03.21,+1,27,07,07.0,9.84,G0,2.71,1.33,0.696,0.008
163,00,02,04.11,-1,30,41,06.8,8.98,A3V,2.92,1.26,0.107,0.002
164,00,02,04.46,+1,59,56,24.0,7.98,G9III,4.41,0.82,0.970,0.015
165,00,02,04.74,-1,22,19,38.9,10.16,Ap...,-0.59,1.74,0.450,0.040
166,00,02,05.17,-1,56,30,53.6,8.86,G3V,9.46,1.18,0.660,0.015
167,00,02,06.67,+1,39,10,59.6,8.58,B9,3.50,0.90,0.060,0.015
168,00,02,08.05,-1,02,49,11.4,9.56,R...,1.95,1.34,1.113,0.008
169,00,02,08.41,-1,68,16,48.7,9.24,M0V,63.03,1.98,1.390,0.042
170,00,02,09.04,-1,20,52,17.9,9.63,F5V,5.96,2.02,0.509,0.024
171,00,02,09.65,+1,27,05,04.2,5.80,G3V,80.63,3.03,0.690,0.015
172,00,02,10.29,+1,67,24,32.2,9.05,O7,1.27,1.11,0.976,0.029
173,00,02,11.90,+1,47,34,38.0,8.45,A2,1.31,1.03,0.248,0.015
174,00,02,12.38,+1,59,57,55.2,8.86,G9II-III,3.89,1.83,1.035,0.021
175,00,02,12.58,+1,49,46,16.1,7.84,G5,3.98,0.87,0.923,0.010
176,00,02,12.80,+1,44,25,41.8,8.86,K0,3.82,1.07,0.530,0.021
177,00,02,14.45,-1,11,57,51.6,8.93,A1m...,5.47,1.25,0.172,0.002
178,00,02,16.27,-1,27,08,06.6,7.97,F7V,9.02,2.50,0.556,0.015
179,00,02,16.53,-1,13,24,27.1,6.90,G0V,14.91,0.90,0.534,0.002
180,00,02,17.02,-1,09,10,29.6,8.47,K0,2.80,1.12,1.171,0.017
181,00,02,17.72,+1,60,42,11.5,6.77,M0,2.51,0.64,1.832,0.011
182,00,02,19.48,+1,52,35,11.2,8.55,K0,3.32,1.16,1.004,0.015
183,00,02,19.91,-1,29,43,13.6,5.04,B4V,6.40,0.87,-0.150,0.042
184,00,02,21.55,+1,11,00,22.8,8.48,K0,29.75,1.21,0.888,0.020
185,00,02,21.64,+1,10,47,08.3,8.53,F8,11.74,1.80,0.530,0.015
186,00,02,24.17,+1,08,57,24.6,6.33,A6V,7.55,0.82,0.182,0.002
187,00,02,24.51,-1,06,03,33.1,8.99,G0,6.69,1.38,0.500,0.034
188,00,02,24.60,+1,06,19,59.3,8.64,F5,10.49,1.23,0.488,0.022
189,00,02,25.27,+1,54,08,06.6,9.55,A3,2.49,1.41,0.237,0.025
190,00,02,25.33,+1,10,46,35.9,8.74,G0,10.47,1.17,0.570,0.015
191,00,02,26.95,-1,46,01,43.8,12.43,M3,22.98,4.38,1.490,0.015
192,00,02,28.76,+1,08,23,38.1,8.16,G5,3.31,1.11,1.032,0.019
193,00,02,29.19,-1,39,12,45.0,9.46,G8/K0III,4.77,1.47,0.944,0.023
194,00,02,29.76,+1,08,29,08.1,5.70,F0V,26.53,0.77,0.315,0.006
195,00,02,30.18,+1,47,25,22.7,7.62,F8,8.08,1.00,0.517,0.011
196,00,02,30.48,+1,51,49,47.9,8.95,K5,0.98,1.18,1.677,0.037
197,00,02,31.76,+1,42,08,52.1,8.97,K0,1.62,1.16,0.952,0.021
198,00,02,31.85,+1,15,20,06.7,8.94,A0,5.12,1.11,0.276,0.021
199,00,02,32.41,+1,16,15,23.6,7.24,A0,4.07,0.88,0.074,0.007
200,00,02,32.51,-1,33,59,33.6,10.32,F2,3.17,1.67,0.323,0.037
201,00,02,33.44,+1,18,41,00.1,8.24,F5,10.06,0.99,0.474,0.014
202,00,02,34.02,+1,54,33,07.8,8.62,F0,2.60,1.10,0.303,0.015
203,00,02,34.14,-1,15,49,52.6,9.18,K0III,2.16,1.59,0.981,0.022
204,00,02,34.82,-1,43,56,52.5,8.53,K3III,2.53,1.00,1.274,0.018
205,00,02,34.97,-1,05,11,11.9,8.54,F2,8.84,1.25,0.384,0.017
206,00,02,35.24,+1,18,50,09.6,8.56,G0,9.32,1.02,0.436,0.018
208,00,02,35.98,-1,67,38,03.4,9.41,G6/G8III,2.46,1.07,0.967,0.027
207,00,02,36.08,+1,66,05,56.3,5.87,G8III,1.57,1.67,1.073,0.005
209,00,02,38.44,+1,66,06,01.4,7.20,A2V,-0.69,9.62,0.085,0.009
210,00,02,38.92,-1,08,29,16.6,9.05,G0,7.65,1.93,0.470,0.015
211,00,02,39.16,-1,37,56,51.7,9.52,G8,3.88,1.36,0.832,0.021
212,00,02,39.23,-1,29,04,30.9,10.24,,6.18,2.04,0.318,0.058
213,00,02,40.05,+1,51,28,20.7,7.70,G5,7.80,0.95,1.003,0.008
214,00,02,40.60,+1,28,32,32.0,8.17,A3,3.36,0.99,0.290,0.015
217,00,02,41.86,+1,82,58,23.6,7.29,A0,2.73,0.63,0.118,0.009
215,00,02,41.88,+1,75,02,10.3,9.26,M2,3.49,0.94,1.800,0.081
216,00,02,42.46,+1,42,55,14.5,7.94,A0,3.21,0.89,0.016,0.009
218,00,02,43.14,-1,57,38,01.1,8.42,G8III,4.14,1.05,1.005,0.014
219,00,02,45.66,+1,06,02,04.0,8.56,F8,10.78,1.28,0.602,0.024
220,00,02,46.02,+1,35,48,55.7,7.52,A0,6.27,0.81,0.180,0.015
221,00,02,46.37,+1,80,16,56.1,7.74,F2,7.68,1.11,0.483,0.015
222,00,02,46.68,-1,40,58,59.4,8.85,K1III,2.62,1.16,1.113,0.018
224,00,02,47.10,+1,03,51,37.5,9.01,K0,1.25,1.47,1.010,0.034
223,00,02,47.14,+1,02,07,49.4,7.17,G0,21.58,1.65,0.617,0.015
225,00,02,48.02,-1,15,02,25.9,9.04,F3/F5V,7.23,1.56,0.489,0.016
226,00,02,48.07,-1,24,56,42.9,10.30,F0/F2V,0.63,1.67,0.254,0.058
227,00,02,49.00,+1,80,17,11.4,9.86,,8.72,7.25,0.442,0.046
228,00,02,50.44,+1,28,15,06.8,7.64,F8,9.53,0.87,0.532,0.013
229,00,02,51.34,+1,47,15,08.2,8.27,A0,2.16,2.57,0.128,0.020
230,00,02,51.77,+1,30,20,11.5,8.44,F2,8.62,1.31,0.423,0.021
